location,parameter,dss file,dss path
FOLSOM,ELEVATION (FEET),forecast/simGroups/DemoTestB/bc.dss,//FOLSOM/ELEVATION (FEET)//1MON/Apr90-H-2014/
FOLSOM,AREA (ACRES),forecast/simGroups/DemoTestB/bc.dss,//FOLSOM/AREA (ACRES)//1MON/Apr90-H-2014/
FOLSOM,FLOW-AMER AFRP,forecast/simGroups/DemoTestB/bc.dss,//FOLSOM/FLOW-AMER AFRP//1MON/Apr90-H-2014/
FOLSOM,FLOW-AFRP,forecast/simGroups/DemoTestB/bc.dss,//FOLSOM/FLOW-AMER AFRP//1DAY/Apr90-H-2014/
FOLSOM LAKE,FLOW-ACC-DEP,forecast/simGroups/DemoTestB/bc.dss,/AMERICAN RIVER/FOLSOM LAKE/FLOW-ACC-DEP//1DAY/Apr90-H-2014/
Folsom-NF-in,FLOW-IN,forecast/simGroups/DemoTestB/bc.dss,//Folsom-NF-in/FLOW-IN//1DAY/Apr90-H-2014/
Folsom-SF-in,FLOW-IN,forecast/simGroups/DemoTestB/bc.dss,//Folsom-SF-in/FLOW-IN//1DAY/Apr90-H-2014/
North Fork abv MF,FLOW-IN,forecast/simGroups/DemoTestB/bc.dss,//North Fork abv MF/FLOW-IN//1DAY/Apr90-H-2014/
Middle Fork abv NF,FLOW-IN,forecast/simGroups/DemoTestB/bc.dss,//Middle Fork abv NF/FLOW-IN//1DAY/Apr90-H-2014/
Folsom-SF-in,TEMP-WATER,forecast/simGroups/DemoTestB/bc.dss,//Folsom-SF-in/TEMP-WATER//1DAY/Apr90-H-2014/
Folsom-NF-in,TEMP-WATER,forecast/simGroups/DemoTestB/bc.dss,//Folsom-NF-in/TEMP-WATER//1DAY/Apr90-H-2014/
South Canal,TEMP-WATER,forecast/simGroups/DemoTestB/bc.dss,//South Canal/TEMP-WATER//1DAY/Apr90-H-2014/
ZERO-BY-DAY,FLOW-ZERO,forecast/simGroups/DemoTestB/bc.dss,//ZERO-BY-DAY/FLOW-ZERO//1DAY/Apr90-H-2014/
ZERO-BY-HOUR,FLOW-ZERO,forecast/simGroups/DemoTestB/bc.dss,//ZERO-BY-HOUR/FLOW-ZERO//1Hour/Apr90-H-2014/
